"label","last_mesure","sang_ok"
"8189864","12/12/2019","non"
"8189866","12/12/2019","non"
"8189867","12/12/2019","non"
"8189926","17/06/2019","oui"
"8189927","25/04/2019","oui"
"8189928","06/07/2018","oui"
"8189944","02/05/2019","oui"
"8189948","02/05/2019","oui"
"8189949","18/05/2018","oui"
"8189960","06/05/2019","non"
"8189976","29/05/2018","oui"
"8189982","13/06/2018","oui"
"8189983","13/06/2018","non"
"8189984","20/06/2018","oui"
"8189985","20/06/2018","oui"
"8189986","21/06/2018","oui"
"8189990","16/05/2023","oui"
"8189991","03/06/2019","oui"
"8189992","03/06/2019","oui"
"8189999","25/04/2020","oui"
"8190000","19/04/2020","oui"
"8360651","25/02/2021","non"
"8362038","15/06/2021","non"
"8378025","02/07/2018","oui"
"8378031","19/04/2020","oui"
"8378040","03/05/2019","oui"
"8378041","10/06/2020","oui"
"8378042","28/04/2022","oui"
"8378043","24/04/2019","oui"
"8378044","26/04/2019","oui"
"8378045","19/06/2020","oui"
"8378046","13/06/2019","oui"
"8378047","13/06/2019","oui"
"8378058","29/04/2019","oui"
"8378059","29/04/2019","oui"
"8378060","20/06/2019","oui"
"8378069","28/05/2020","oui"
"8378070","30/04/2019","oui"
"8378075","28/04/2021","oui"
"8378082","19/05/2022","oui"
"8378083","03/05/2019","oui"
"8378084","03/05/2019","non"
"8378085","03/05/2019","non"
"8378086","18/05/2020","oui"
"8378087","18/05/2020","oui"
"8378088","19/04/2022","oui"
"8378089","12/05/2023","oui"
"8378090","05/05/2019","oui"
"8378091","06/05/2019","oui"
"8378092","06/05/2019","oui"
"8378093","06/05/2019","oui"
"8378094","04/05/2020","oui"
"8378095","07/05/2019","oui"
"8378096","07/05/2019","oui"
"8378097","07/05/2019","oui"
"8378098","07/05/2020","oui"
"8378099","09/05/2019","oui"
"8378100","09/05/2019","oui"
"8378506","02/05/2019","oui"
"8378507","05/05/2019","oui"
"8378537","21/06/2019","oui"
"8378538","21/06/2019","oui"
"8378539","25/06/2021","non"
"8378540","09/05/2019","oui"
"8378541","04/05/2020","oui"
"8378542","30/04/2020","oui"
"8378543","09/05/2019","oui"
"8378544","10/05/2019","oui"
"8378545","10/05/2019","oui"
"8378546","07/05/2020","oui"
"8378547","10/05/2019","non"
"8378548","10/05/2019","oui"
"8378551","13/05/2019","non"
"8378552","21/05/2021","oui"
"8378555","13/05/2019","oui"
"8378556","21/04/2020","oui"
"8378557","14/05/2019","oui"
"8378558","14/05/2019","oui"
"8378559","14/05/2019","oui"
"8378560","14/05/2019","oui"
"8378561","02/07/2021","oui"
"8378562","14/05/2019","non"
"8378563","03/05/2024","oui"
"8378564","21/06/2021","non"
"8378565","30/04/2020","oui"
"8378594","30/06/2019","oui"
"8378595","17/05/2021","oui"
"8378596","08/05/2020","oui"
"8378597","15/05/2019","oui"
"8378598","16/05/2019","oui"
"8378599","14/05/2021","non"
"8378600","16/05/2019","oui"
"8379064","17/05/2023","oui"
"8379098","12/06/2024","oui"
"8379099","26/06/2024","oui"
"8379100","22/05/2023","oui"
"8379104","18/06/2019","oui"
"8379105","25/06/2019","oui"
"8379106","04/05/2019","oui"
"8379107","04/05/2019","oui"
"8379110","30/04/2020","oui"
"8379114","29/06/2020","oui"
"8379115","03/05/2021","non"
"8379116","17/06/2019","oui"
"8379124","06/05/2020","non"
"8379125","21/06/2021","oui"
"8379126","05/05/2020","oui"
"8379127","01/05/2020","oui"
"8379131","10/05/2019","oui"
"8379132","10/05/2019","oui"
"8379133","22/06/2020","oui"
"8379134","03/07/2019","oui"
"8379135","30/06/2019","oui"
"8379136","12/05/2019","oui"
"8379146","09/05/2022","oui"
"8379156","18/05/2023","non"
"8379174","16/05/2019","oui"
"8379175","12/05/2021","oui"
"8379176","16/05/2019","oui"
"8379177","05/05/2020","oui"
"8379178","18/05/2019","non"
"8379192","07/05/2020","oui"
"8379196","24/05/2019","oui"
"8379219","22/05/2022","non"
"8379224","16/05/2019","non"
"8379225","18/05/2019","non"
"8379242","09/05/2022","oui"
"8379271","06/05/2021","non"
"8379300","09/07/2019","oui"
"8379425","30/04/2020","oui"
"8379467","10/04/2020","non"
"8379482","19/05/2022","oui"
"8379498","12/05/2022","oui"
"8379499","28/06/2023","oui"
"8379500","12/05/2022","oui"
"8380037","13/05/2019","oui"
"8380054","23/05/2022","oui"
"8380055","16/05/2019","oui"
"8380073","21/02/2022","non"
"8380075","04/05/2023","oui"
"8380076","14/05/2022","oui"
"8380077","07/05/2021","oui"
"8380078","09/05/2025","oui"
"8380079","09/05/2021","oui"
"8380080","06/05/2022","oui"
"8380081","12/05/2021","oui"
"8380082","16/05/2022","oui"
"8380083","12/05/2021","oui"
"8380084","14/05/2021","oui"
"8380085","14/05/2021","oui"
"8380086","17/05/2025","oui"
"8380087","10/05/2025","non"
"8380088","13/05/2022","oui"
"8380089","14/05/2022","oui"
"8380090","15/05/2023","oui"
"8380091","16/05/2022","oui"
"8380109","08/05/2020","oui"
"8380123","16/05/2019","oui"
"8380124","02/07/2021","oui"
"8380125","08/05/2020","oui"
"8380126","03/05/2021","oui"
"8380127","17/06/2021","oui"
"8380128","17/05/2019","oui"
"8380138","27/04/2020","oui"
"8380140","30/04/2020","oui"
"8380145","08/05/2020","oui"
"8380149","16/06/2020","oui"
"8380157","18/05/2019","non"
"8380162","15/05/2020","oui"
"8380163","10/07/2019","non"
"8380164","13/05/2022","oui"
"8380167","21/05/2019","oui"
"8380169","03/05/2022","non"
"8380170","30/04/2020","oui"
"8380172","12/05/2020","oui"
"8380173","09/05/2021","oui"
"8380175","21/05/2021","oui"
"8380179","30/04/2020","oui"
"8380181","09/07/2019","oui"
"8380182","27/05/2019","oui"
"8380183","07/06/2022","oui"
"8380184","27/05/2019","oui"
"8380185","28/05/2019","oui"
