"label","last_mesure","sang_ok"
"10175103","07/05/2025","non"
"10175104","29/04/2025","non"
"10175105","29/04/2025","non"
"10175106","29/04/2025","non"
"10175107","29/04/2025","non"
"10175108","29/04/2025","non"
"10175109","29/04/2025","non"
"10175110","07/05/2025","non"
"10175111","29/04/2025","non"
"10175112","29/04/2025","non"
"10175113","29/04/2025","non"
"10175114","07/05/2025","non"
"10175115","07/05/2025","non"
"10175116","07/05/2025","non"
"10175117","07/05/2025","non"
"10175118","07/05/2025","non"
"10175119","07/05/2025","non"
"10175120","07/05/2025","non"
"10175121","07/05/2025","non"
"10175122","07/05/2025","non"
"10175123","30/04/2025","oui"
"10175124","07/05/2025","non"
"10175125","07/05/2025","non"
"10175126","07/05/2025","non"
"10175127","07/05/2025","non"
"10175128","07/05/2025","non"
"10175129","01/05/2025","non"
"10175130","01/05/2025","non"
"10175131","01/05/2025","non"
"10175132","01/05/2025","non"
"10175133","01/05/2025","non"
"10175134","01/05/2025","non"
"10175135","01/05/2025","non"
"10175136","01/05/2025","non"
"10175137","01/05/2025","non"
"10175138","01/05/2025","non"
"10175139","01/05/2025","non"
"10175140","01/05/2025","non"
"10175141","01/05/2025","non"
"10175142","01/05/2025","non"
"10175143","01/05/2025","non"
"10175144","01/05/2025","non"
"10175145","01/05/2025","non"
"10175146","01/05/2025","non"
"10175147","01/05/2025","non"
"10175148","01/05/2025","non"
"10175149","08/05/2025","non"
"10175150","01/05/2025","non"
"10175151","01/05/2025","non"
"10175152","01/05/2025","non"
"10175153","01/05/2025","oui"
"10175154","01/05/2025","non"
"10175155","01/05/2025","non"
"10175156","01/05/2025","non"
"10175157","01/05/2025","non"
"10175158","02/05/2025","non"
"10175159","02/05/2025","non"
"10175160","02/05/2025","non"
"10175161","02/05/2025","non"
"10175162","02/05/2025","non"
"10175163","02/05/2025","non"
"10175164","02/05/2025","non"
"10175165","02/05/2025","non"
"10175166","02/05/2025","non"
"10175167","02/05/2025","non"
"10175168","02/05/2025","non"
"10175169","02/05/2025","non"
"10175170","02/05/2025","non"
"10175171","02/05/2025","non"
"10175172","02/05/2025","non"
"10175173","02/05/2025","non"
"10175174","02/05/2025","non"
"10175175","02/05/2025","non"
"10175176","02/05/2025","non"
"10175177","02/05/2025","non"
"10175178","02/05/2025","non"
"10175179","02/05/2025","non"
"10175180","02/05/2025","non"
"10175181","02/05/2025","non"
"10175182","02/05/2025","non"
"10175183","02/05/2025","non"
"10175184","02/05/2025","non"
"10175185","08/05/2025","non"
"10175186","08/05/2025","non"
"10175187","08/05/2025","non"
"10175188","08/05/2025","non"
"10175189","08/05/2025","non"
"10175190","08/05/2025","non"
"10175191","08/05/2025","non"
"10175192","08/05/2025","non"
"10175193","03/05/2025","oui"
"10175194","03/05/2025","oui"
"10175195","11/05/2025","non"
"10175196","11/05/2025","non"
"10175197","11/05/2025","non"
"10175198","11/05/2025","non"
"10175199","11/05/2025","non"
"10175200","05/05/2025","oui"
"10175201","03/05/2025","non"
"10175202","03/05/2025","non"
"10175203","03/05/2025","non"
"10175204","03/05/2025","non"
"10175205","03/05/2025","non"
"10175206","03/05/2025","non"
"10175207","03/05/2025","non"
"10175208","03/05/2025","non"
"10175209","03/05/2025","oui"
"10175210","11/05/2025","non"
"10175211","11/05/2025","non"
"10175212","11/05/2025","non"
"10175213","11/05/2025","non"
"10175214","11/05/2025","non"
"10175215","11/05/2025","non"
"10175216","11/05/2025","non"
"10175217","11/05/2025","non"
"10175218","11/05/2025","non"
"10175219","11/05/2025","non"
"10175220","11/05/2025","non"
"10175221","11/05/2025","non"
"10175222","11/05/2025","non"
"10175223","11/05/2025","non"
"10175224","11/05/2025","non"
"10175225","04/05/2025","oui"
"10175226","05/05/2025","oui"
"10175227","05/05/2025","non"
"10175228","05/05/2025","non"
"10175229","12/05/2025","non"
"10175230","12/05/2025","non"
"10175231","12/05/2025","non"
"10175232","12/05/2025","non"
"10175233","12/05/2025","non"
"10175234","12/05/2025","non"
"10175235","12/05/2025","non"
"10175236","12/05/2025","non"
"10175237","06/05/2025","non"
"10175238","06/05/2025","non"
"10175239","06/05/2025","non"
"10175240","06/05/2025","non"
"10175241","06/05/2025","non"
"10175242","06/05/2025","non"
"10175243","06/05/2025","non"
"10175244","06/05/2025","non"
"10175245","06/05/2025","non"
"10175246","06/05/2025","non"
"10175247","06/05/2025","non"
"10175248","07/05/2025","non"
"10175249","07/05/2025","non"
"10175250","07/05/2025","non"
"10175251","13/05/2025","non"
"10175252","07/05/2025","non"
"10175253","13/05/2025","non"
"10175254","07/05/2025","non"
"10175255","07/05/2025","non"
"10175256","07/05/2025","non"
"10175257","07/05/2025","non"
"10175258","07/05/2025","non"
"10175259","07/05/2025","non"
"10175260","07/05/2025","non"
"10175261","07/05/2025","non"
"10175262","07/05/2025","non"
"10175263","07/05/2025","non"
"10175264","07/05/2025","non"
"10175265","07/05/2025","non"
"10175266","07/05/2025","non"
"10175267","07/05/2025","non"
"10175268","07/05/2025","non"
"10175269","07/05/2025","non"
"10175270","07/05/2025","non"
"10175271","07/05/2025","non"
"10175272","08/05/2025","oui"
"10175273","08/05/2025","oui"
"10175274","08/05/2025","oui"
"10175275","08/05/2025","oui"
"10175276","08/05/2025","oui"
"10175277","08/05/2025","non"
"10175278","08/05/2025","non"
"10175279","08/05/2025","non"
"10175280","08/05/2025","non"
"10175281","08/05/2025","non"
"10175282","08/05/2025","non"
"10175283","08/05/2025","non"
"10175284","08/05/2025","non"
"10175285","08/05/2025","non"
"10175286","08/05/2025","non"
"10175287","08/05/2025","non"
"10175288","08/05/2025","non"
"10175289","08/05/2025","non"
"10175290","08/05/2025","non"
"10175291","08/05/2025","non"
