"bague","autre_bague","espece","sexe","age_2025","lieu_bag","nic_naiss","sang_ok","number_captures","nb_of","nb_cog"
"9484517",,"bleue",,2,"fel","fel_8","non",,,
"9484518",,"bleue",,2,"fel","fel_8","non",,,
"9484519",,"bleue",,2,"fel","fel_8","non",,,
"9484520",,"bleue",,2,"fel","fel_8","non",,,
"9484521",,"bleue",,2,"fel","fel_8","non",,,
"9484522",,"bleue",,2,"fel","fel_8","non",,,
"9484523",,"bleue",,2,"gra","gra_13","non",,,
"9484524",,"bleue",,2,"gra","gra_13","non",,,
"9484525",,"bleue",,2,"gra","gra_13","non",,,
"9484526",,"bleue",,2,"gra","gra_13","non",,,
"9484527",,"bleue",,2,"gra","gra_13","non",,,
"9484528",,"bleue",,2,"gra","gra_13","non",,,
"9484529",,"bleue",,2,"gra","gra_13","non",,,
"9484530",,"bleue",,2,"gra","gra_13","non",,,
"9484531",,"bleue",,2,"ava","ava_12","non",,,
"9484532",,"bleue",,2,"ava","ava_12","non",,,
"9484533",,"bleue",,2,"ava","ava_12","non",,,
"9484534",,"bleue",,2,"ava","ava_12","non",,,
"9484535",,"bleue",,2,"ava","ava_12","non",,,
"9484536",,"bleue",,2,"ava","ava_12","non",,,
"9484537",,"bleue",,2,"ava","ava_12","non",,,
"9484538",,"bleue",,2,"ava","ava_12","non",,,
"9484539",,"bleue",,2,"ava","ava_12","non",,,
"9484540",,"bleue",,2,"ava","ava_14","non",,,
"9484541",,"bleue",,2,"ava","ava_14","non",,,
"9484542",,"bleue",,2,"ava","ava_14","non",,,
"9484543",,"bleue",,2,"ava","ava_14","non",,,
"9484544",,"bleue",,2,"ava","ava_14","non",,,
"9484545",,"bleue",,2,"ava","ava_14","non",,,
"9484546",,"bleue",,2,"ava","ava_14","non",,,
"9484547",,"bleue",,2,"fel","fel_20","non",,,
"9484548",,"bleue",,2,"fel","fel_20","non",,,
"9484549",,"bleue",,2,"fel","fel_20","non",,,
"9484550",,"bleue",,2,"fel","fel_20","non",,,
"9484551",,"bleue",,2,"fel","fel_20","non",,,
"9484552",,"bleue",,2,"fel","fel_20","non",,,
"9484553",,"bleue",,2,"fel","fel_20","non",,,
"9484554",,"bleue",,2,"fel","fel_20","non",,,
"9484555",,"bleue",,2,"fel","fel_20","non",,,
"9484556",,"bleue",,2,"mur","mur_164","non",,,
"9484557",,"bleue",,2,"mur","mur_164","non",,,
"9484558",,"bleue",,2,"mur","mur_164","non",,,
"9484559",,"bleue",,2,"mur","mur_164","non",,,
"9484560",,"bleue",,2,"mur","mur_164","non",,,
"9484561",,"bleue",,2,"mur","mur_164","non",,,
"9484562",,"bleue",,2,"mur","mur_164","non",,,
"9484563",,"bleue",,2,"mur","mur_136","non",,,
"9484564",,"bleue",,2,"mur","mur_136","non",,,
"9484565",,"bleue",,2,"mur","mur_136","non",,,
"9484566",,"bleue",,2,"mur","mur_136","non",,,
"9484567",,"bleue",,2,"mur","mur_136","non",,,
"9484568",,"bleue",,2,"mur","mur_136","non",,,
"9484569",,"bleue",,2,"mur","mur_143","non",,,
"9484570",,"bleue",,2,"mur","mur_143","non",,,
"9484571",,"bleue",,2,"mur","mur_143","non",,,
"9484572",,"bleue",,2,"mur","mur_143","non",,,
"9484573",,"bleue",,2,"mur","mur_143","non",,,
"9484574",,"bleue",,2,"mur","mur_143","non",,,
"9484575",,"bleue",,2,"mur","mur_143","non",,,
"9484576",,"bleue",,2,"mur","mur_143","non",,,
"9484577",,"bleue",,2,"mur","mur_143","non",,,
"9484578",,"bleue",,2,"mur","mur_153","non",,,
"9484579",,"bleue",,2,"mur","mur_153","non",,,
"9484580",,"bleue",,2,"mur","mur_153","non",,,
